Order,Cutoff,Smoothing,Entropy,Agreement
1,0,witten-bell,1.908185,69.422827
1,0,laplace,1.911411,69.422827
1,2,witten-bell,1.916553,69.422827
1,2,laplace,1.920670,69.422827
1,5,witten-bell,1.958051,69.422827
1,5,laplace,1.944172,69.422827
2,0,witten-bell,1.131266,77.107652
2,0,laplace,1.212742,76.361868
2,2,witten-bell,1.202152,77.269780
2,2,laplace,1.231802,76.005188
2,5,witten-bell,1.387432,75.616083
2,5,laplace,1.295715,76.232166
3,0,witten-bell,1.207324,76.556420
3,0,laplace,1.344797,74.351492
3,2,witten-bell,1.297332,76.297017
3,2,laplace,1.339182,74.740597
3,5,witten-bell,1.497754,74.481193
3,5,laplace,1.392767,74.513619
